Date,Price,Tenor,Maturity,Date_Ord,Predicted_Price
2051-10-12,0.0977072081201637,2.0,0.5,749032,0.17804810158984577
2051-10-12,0.0507303866468972,1.0,0.25,749032,0.17676576299303018
2051-10-12,0.351971383101244,8.0,25.0,749032,0.3827953402440367
2051-10-12,0.368816004965011,2.0,30.0,749032,0.4307902584882054
2051-10-12,0.199345281337742,4.0,1.5,749032,0.1848965441546356
2051-10-12,0.0414658878501843,6.0,0.0833333333333333,749032,0.17104012075882535
2051-10-12,0.282207353841138,8.0,10.0,749032,0.25428237910927753
2051-10-12,0.173132674009923,10.0,1.5,749032,0.17973927962205327
2051-10-12,0.118945126432908,20.0,0.75,749032,0.1647181906776781
2051-10-12,0.314823438811007,1.0,5.0,749032,0.21746153401903723
2051-10-12,0.132082065490654,7.0,0.75,749032,0.17589226383160647
2051-10-12,0.261421835438802,4.0,3.0,749032,0.1977478402681115
2051-10-12,0.134152026765618,4.0,0.75,749032,0.17847089609789762
2051-10-12,0.121107133157823,30.0,0.75,749032,0.1561227497900409
2051-10-12,0.36225628425452,1.0,25.0,749032,0.3888121488653828
2051-10-12,0.293843746916503,2.0,4.0,749032,0.2080344591879562
2051-10-12,0.244898962261747,15.0,5.0,749032,0.20542791677634512
2051-10-12,0.380827947614988,5.0,30.0,749032,0.4282116262219142
2051-10-12,0.357739858245435,3.0,25.0,749032,0.3870930606878553
2051-10-12,0.185524053683633,7.0,1.5,749032,0.18231791188834445
2051-10-12,0.0989815625076855,25.0,0.5,749032,0.15827858754828017
2051-10-12,0.275954618381722,10.0,10.0,749032,0.2525632909317501
2051-10-12,0.108270467933773,6.0,0.5,749032,0.17460992523479088
2051-10-12,0.159019575523929,20.0,1.5,749032,0.17114383873441605
2051-10-12,0.147742849004208,9.0,1.0,749032,0.17631505833965835
2051-10-12,0.217266296331813,15.0,3.0,749032,0.18829285529171058
2051-10-12,0.226713806020537,4.0,2.0,749032,0.18918030952579423
2051-10-12,0.0262877253082661,1.0,0.0833333333333333,749032,0.17533784120264392
2051-10-12,0.329541280953547,8.0,20.0,749032,0.33995768653245034
2051-10-12,0.382236762082132,9.0,30.0,749032,0.42477344986685933
2051-10-12,0.155794028206637,2.0,1.0,749032,0.1823318669610044
2051-10-12,0.27394909061115,9.0,7.0,749032,0.227720242793562
2051-10-12,0.0349833263032763,2.0,0.0833333333333333,749032,0.17447829711388022
2051-10-12,0.126240144144764,10.0,0.75,749032,0.17331363156531532
2051-10-12,0.338290671725391,15.0,20.0,749032,0.3339408779111043
2051-10-12,0.236626033578673,8.0,3.0,749032,0.19430966391305662
2051-10-12,0.0418188390224685,8.0,0.0833333333333333,749032,0.1693210325812979
2051-10-12,0.243861509174448,7.0,3.0,749032,0.19516920800182036
2051-10-12,0.20273344126277,9.0,2.0,749032,0.18488258908197563
2051-10-12,0.192658308481801,1.0,1.5,749032,0.18747517642092673
2051-10-12,0.07467458275561,9.0,0.25,749032,0.1698894102829204
2051-10-12,0.10582510022037,7.0,0.5,749032,0.17375038114602714
2051-10-12,0.158024427883777,3.0,1.0,749032,0.18147232287224066
2051-10-12,0.184648917159143,15.0,2.0,749032,0.1797253245493933
2051-10-12,0.0686056481648147,25.0,0.25,749032,0.15613670486270084
2051-10-14,0.276338380186064,30.0,7.0,749034,0.20972595134257363
2051-10-14,0.0985356403210661,15.0,0.5,749034,0.16693016284896717
2051-10-14,0.137783264044946,25.0,1.0,749034,0.1626184873324886
2051-10-14,0.382986215147087,7.0,30.0,749034,0.4265486724574366
2051-10-14,0.264320690359211,25.0,7.0,749034,0.21402367178639226
2051-10-14,0.357398587972625,7.0,25.0,749034,0.3837110187458502
2051-10-14,0.0688742161100982,20.0,0.25,749034,0.16049055971956924
2051-10-14,0.351158132590884,6.0,25.0,749034,0.38457056283461394
2051-10-14,0.297312996565268,2.0,4.0,749034,0.208090593601006
2051-10-14,0.180636563652216,25.0,2.0,749034,0.17118601807480588
2051-10-14,0.120099604796423,20.0,0.75,749034,0.1647743250907279
2051-10-14,0.302988720204811,3.0,5.0,749034,0.21579858025455956
2051-10-14,0.277963304864595,20.0,10.0,749034,0.24402398445716267
2051-10-14,0.0421025457836766,8.0,0.0833333333333333,749034,0.16937716699434768
2051-10-14,0.287269006492732,3.0,4.0,749034,0.2072310495122423
2051-10-14,0.333561239306481,10.0,20.0,749034,0.3382947327679726
2051-10-14,0.0722577599409169,15.0,0.25,749034,0.16478828016338784
2051-10-14,0.300704743042989,15.0,15.0,749034,0.2911593586125677
2051-10-14,0.12172391748488,15.0,0.75,749034,0.1690720455345465
2051-10-14,0.329507492857256,9.0,20.0,749034,0.3391542768567364
2051-10-14,0.304537487816718,3.0,7.0,749034,0.23293364173919412
2051-10-14,0.305886022289475,2.0,5.0,749034,0.21665812434332327
2051-10-14,0.336455735944095,3.0,20.0,749034,0.3443115413893187
2051-10-14,0.137029894051092,30.0,1.0,749034,0.15832076688866997
2051-10-14,0.149578524258943,9.0,1.0,749034,0.17637119275270813
2051-10-14,0.218818816090949,15.0,3.0,749034,0.18834898970476038
2051-10-14,0.106820883244472,7.0,0.5,749034,0.17380651555907695
2051-10-14,0.205266883768504,9.0,2.0,749034,0.1849387234950254
2051-10-14,0.230062153381003,4.0,2.0,749034,0.189236443938844
2051-10-14,0.202575237867956,4.0,1.5,749034,0.18495267856768538
2051-10-14,0.363811244436719,15.0,25.0,749034,0.3768346660357404
2051-10-14,0.1569255734736,2.0,1.0,749034,0.1823880013740542
2051-10-14,0.271527511295555,7.0,5.0,749034,0.2123604038995047
2051-10-14,0.282065154825181,8.0,10.0,749034,0.25433851352232734
2051-10-14,0.261572087792188,7.0,4.0,749034,0.20379287315718742
2051-10-14,0.332292919766965,1.0,20.0,749034,0.3460306295668461
2051-10-14,0.0974768952634773,2.0,0.5,749034,0.17810423600289554
2051-10-14,0.0404499159654946,30.0,0.0833333333333333,749034,0.15046719704154582
